repeat_count,input_tokens,use_cache,latency_seconds,tokens_per_second,peak_memory_mb
1,21,True,1.2035243511199951,24.095897995759465,
1,21,False,3.7062292098999023,21.58528128435981,
5,101,True,1.7996127605438232,44.45400796992842,
5,101,False,5.207227945327759,15.363260613889748,
10,201,True,1.8926374912261963,42.26905594487079,
10,201,False,7.797340631484985,10.259908317582912,
20,401,True,2.0515737533569336,38.99445480285474,
20,401,False,13.124605417251587,6.095421344617669,
40,801,True,2.452596426010132,32.61849326354254,
40,801,False,27.569732904434204,2.9017328632564707,
